day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
217,5.68E-05,0.000643361,11.2042213,27.6264846,23.82794502,19.74935342,,
218,5.17E-05,0.000656755,11.88459233,28.31539941,23.72287742,19.60124696,,
219,4.71E-05,0.000670992,12.57210642,28.95958227,23.59410518,19.4641216,,
220,4.31E-05,0.000686056,13.25916512,29.55297713,23.44234781,19.33776226,,
221,3.97E-05,0.000702027,13.94114445,30.09198157,23.26807899,19.22156377,,
222,3.67E-05,0.000719022,14.61346816,30.57350345,23.07190018,19.11468953,,
223,3.41E-05,0.000737153,15.27210244,30.99571808,22.85455624,19.01621062,,
224,3.20E-05,0.000756512,15.91162561,31.35739119,22.61734157,18.9249004,,
225,3.02E-05,0.0007772,16.52829157,31.65719786,22.36112295,18.83990222,,
226,2.87E-05,0.000799313,17.11918294,31.89860204,22.08828552,18.7601771,,
227,2.74E-05,0.000822961,17.68048592,32.08107298,21.80003003,18.68478077,,
228,2.64E-05,0.000848436,18.21543537,32.21309199,21.49954828,18.61344074,,
229,2.55E-05,0.000875868,18.72127433,32.29616801,21.18856459,18.54526991,,
230,2.48E-05,0.000905398,19.19990023,32.33829041,20.8715333,18.48176602,,
231,2.42E-05,0.000937195,19.65067436,32.34361614,20.55097106,18.42258743,,
232,2.37E-05,0.000971406,20.07496711,32.3175148,20.22991719,18.36868011,,
233,2.32E-05,0.001008168,20.47423206,32.26454777,19.91091838,18.3209682,,
234,2.29E-05,0.001047706,20.85006668,32.18676596,19.59433456,18.27895319,,
235,2.26E-05,0.001090447,21.20675197,32.08796415,19.28060066,18.24215763,,
236,2.24E-05,0.001136325,21.54216033,31.96964975,18.97082193,18.21011279,,
237,2.22E-05,0.001185864,21.861731,31.83605132,18.66554663,18.18268008,,
238,2.20E-05,0.001239394,22.16793972,31.68979824,18.36532714,18.15966129,,
239,2.18E-05,0.001296839,22.4590003,31.53197895,18.07105766,18.14073834,,
240,2.17E-05,0.001358899,22.74128215,31.36625371,17.78293551,18.12596258,,
241,2.16E-05,0.00142627,23.01943052,31.19525579,17.50117565,18.11547862,,
242,2.15E-05,0.001498924,23.29064509,31.01928411,17.22680139,18.10936506,,
243,2.14E-05,0.001576943,23.55394244,30.83869505,16.96043627,18.1076683,,
244,2.13E-05,0.001660711,23.81111479,30.65462535,16.70231036,18.11047205,,
245,2.13E-05,0.00175073,24.06400083,30.46798271,16.45263174,18.11799293,,
246,2.12E-05,0.001847489,24.3141791,30.27949508,16.21159486,18.13043429,,
247,2.11E-05,0.001951511,24.56259339,30.08931731,15.97914905,18.14783087,,
248,2.11E-05,0.002063315,24.81043939,29.89783117,15.75532597,18.17027112,,
249,2.11E-05,0.002183518,25.05816425,29.70481007,15.53990914,18.19766211,,
250,2.10E-05,0.00231272,25.30656627,29.5103515,15.33281656,18.2300079,,
251,2.10E-05,0.002451627,25.55604085,29.31428564,15.13385665,18.26722896,,
252,2.10E-05,0.002600911,25.80669414,29.11647343,14.9429113,18.30925585,,
253,2.09E-05,0.002761284,26.05859963,28.91674894,14.75984617,18.35601318,,
254,2.09E-05,0.002933844,26.31221675,28.7151807,14.58456739,18.40756037,,
255,2.09E-05,0.003119276,26.56773209,28.51162302,14.41693718,18.46382638,,
256,2.09E-05,0.003318608,26.82487672,28.30594568,14.25685588,18.5247792,,
257,2.08E-05,0.003532912,27.08327313,28.09800958,14.10422911,18.59038739,,
258,2.08E-05,0.003763086,27.34297435,27.88771751,13.95894049,18.66061427,,
259,2.08E-05,0.004010647,27.60279899,27.67495497,13.82092078,18.73539212,,
260,2.08E-05,0.004276541,27.86267231,27.45960874,13.69006067,18.81468743,,
261,2.08E-05,0.004562274,28.12169473,27.24165143,13.56628439,18.89842745,,
262,2.08E-05,0.004869364,28.37895519,27.02105762,13.44951666,18.98653874,,
263,2.08E-05,0.005199095,28.63387381,26.7977595,13.33966873,19.07896469,,
264,2.08E-05,0.0055536,28.88511826,26.57194402,13.23669268,19.17558316,,
265,2.08E-05,0.005934221,29.13200534,26.3435487,13.14050347,19.27633365,,
266,2.08E-05,0.006343401,29.37318123,26.11287526,13.05104945,19.38104381,,
267,2.08E-05,0.006783106,29.60755591,25.88006521,12.96826663,19.48959294,,
268,2.09E-05,0.007254854,29.83428532,25.64511069,12.89207949,19.60190853,,
269,2.09E-05,0.007760491,30.05235442,25.40811266,12.82241994,19.71788047,,
270,2.09E-05,0.008303993,30.26002315,25.16985605,12.75922496,19.83705608,,
271,2.10E-05,0.00888656,30.45649559,24.93023509,12.70242493,19.95942878,,
272,2.10E-05,0.009510342,30.64065374,24.68944787,12.65195246,20.08483983,,
273,2.11E-05,0.010178586,30.81185838,24.44798266,12.60774784,20.21307768,,
274,2.12E-05,0.010895742,30.96999228,24.20664401,12.56975966,20.34387331,,
275,2.12E-05,0.011663358,31.11367658,23.96547196,12.53791638,20.47709668,,
276,2.13E-05,0.012484139,31.24203568,23.72481148,12.5121545,20.61256234,,
277,2.14E-05,0.013363929,31.35626792,23.48541393,12.49240857,20.75009787,,
278,2.15E-05,0.014306218,31.45601638,23.24772591,12.47861461,20.88952109,,
279,2.16E-05,0.015313686,31.5403889,23.01208917,12.47070912,21.0306464,,
280,2.17E-05,0.016390091,31.60916891,22.77893721,12.46862258,21.1732917,,
281,2.18E-05,0.017543358,31.66442934,22.54863713,12.47221486,21.31727911,,
282,2.19E-05,0.018775678,31.70509197,22.32164743,12.481443,21.46242492,,
283,2.21E-05,0.020091235,31.7311753,22.0983948,12.49623025,21.60854743,,
284,2.22E-05,0.021495137,31.74335286,21.87933786,12.51636253,21.75513048,,
285,2.23E-05,0.022994024,31.74338879,21.66498844,12.54139716,21.90110092,,
286,2.24E-05,0.024587859,31.7281147,21.45313705,12.56856031,22.04067698,,
287,2.26E-05,0.02628192,31.71481386,21.25303138,12.59529647,22.1635746,,
288,2.27E-05,0.028110665,31.74289227,21.09069954,12.62837665,22.27418744,,
289,2.27E-05,0.030076669,31.82051171,20.97226556,12.6681404,22.370757,,
290,2.28E-05,0.032190385,31.9583466,20.90886895,12.71791662,22.45574543,,
291,2.28E-05,0.034474472,32.16670738,20.91241343,12.78426708,22.53891646,,
292,2.28E-05,0.036940238,32.43589312,20.97789484,12.87259027,22.6364116,,
293,2.27E-05,0.039583266,32.74336957,21.09026797,12.98003715,22.74840687,,
294,2.26E-05,0.042407198,33.06635972,21.23730663,13.10390593,22.87289547,,
295,2.25E-05,0.045437083,33.38948881,21.41251671,13.24254743,23.00686286,,
296,2.23E-05,0.048613831,33.69285725,21.60385806,13.38380211,23.12663256,,
297,2.21E-05,0.051950165,34.00311741,21.83221588,13.53393854,23.23778446,,
298,2.18E-05,0.0554604,34.33014818,22.11103939,13.69706188,23.34261626,,
299,2.15E-05,0.059145547,34.67484142,22.45355356,13.87595413,23.4389811,,
